feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
danceability,-0.28496246687989923,0.5147115500874537,0.063885528386527,0.18943503405954468,0.2770355937133782,-0.11067216063235813,-0.49829683731595226,0.511579667295938,-0.12202818697770164
energy,-0.10925731120811766,0.3434996626730411,-0.3095201504742762,-0.4169571341836963,-0.5868454142547991,0.06852724350011319,0.2767173717751441,0.4091716897107343,0.08565831867535778
speechiness,0.42732017659713095,0.2051996428946353,0.29652292082787507,0.14447663826748192,-0.15511682624361062,0.7434427496699694,-0.05498335783396933,0.06375093741394862,-0.28746395977053213
acousticness,0.5337827244236548,0.18248856212083361,-0.022203113780150843,-0.3319682761800351,-0.02299731984133427,-0.49781129196297547,-0.13165237330149182,-0.11308187414158029,-0.5409373312773249
instrumentalness,-0.087468327432761,-0.4356392811025389,0.017651877939701313,0.23744764932918455,-0.6504437245905969,-0.11506598384165395,-0.5356216642222938,0.07377673341191404,-0.1312400107280423
liveness,-0.07147062269237155,0.03244386616034016,-0.6921713215822871,0.505060131875138,0.03942582824045415,0.06826803901414549,0.22369009579672977,-0.06808107713609465,-0.4458309739183555
valence,0.22597814190785043,0.533736769215937,-0.03742253396588398,0.3868444691303971,-0.2777504116281215,-0.18737718516492596,-0.09463224794137798,-0.4216565660866706,0.4626065590404437
tempo,0.31842887695803174,-0.1258876203008859,-0.5746843235007588,-0.2781341847998095,0.22096944767891014,0.26972384872114397,-0.4965964744525373,0.011731568014303091,0.3268187899114957
loudness,-0.5235559890635906,0.22386204178468722,-0.024936919088090065,-0.347433863773296,-0.06057565782859681,0.23826585034156544,-0.2495618041953233,-0.6049819428702727,-0.25635620113607205
