PC,variance_explained,cumulative_variance
PC1,0.20924494282680858,0.20924494282680858
PC2,0.18960312809554405,0.39884807092235264
PC3,0.14056263965951782,0.5394107105818704
PC4,0.1249140954104691,0.6643248059923396
PC5,0.10813315661276385,0.7724579626051034
PC6,0.07999585218760656,0.85245381479271
PC7,0.06551470439366863,0.9179685191863786
PC8,0.048879114109147845,0.9668476332955265
PC9,0.03315236670447353,1
